x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,y
3.09,48513,50021,49373,50362,6720.48,1290.56,19.51,18298.87,1838.42,2060.85,240770,2,1.8,560.4,2.79,6.24,1.38,48828
3,50021,49373,50362,50189,6717.15,1293.28,19.29,18214.1,1759.95,2043.2,233240,2.04,2.08,562.65,2.8,6.26,1.39,49260
2.9,49373,50362,50189,50231,6752.55,1296.74,19.34,18958.55,1728.72,2035.53,218267.5,2.1,2.5,561.34,2.79,6.23,1.39,50533
2.95,50362,50189,50231,50027.5,6930.1,1296.51,19.5,19900.9,1741.2,2066.3,196675,2.1,2.5,551.06,2.78,6.23,1.37,51712
2.99,50189,50231,50027.5,48828,6961.4,1292.88,19.4,19679.2,1742.7,2074.2,179360,2.1,2.5,551.46,2.79,6.24,1.37,51584
3.01,50231,50027.5,48828,49260,6994.75,1263.36,19.04,19296.6,1797.62,2072.65,173285,2.1,2.5,551.51,2.77,6.24,1.36,50850
2.95,50027.5,48828,49260,50533,6854.4,1247.44,18.86,19012.6,1826.85,2091.7,168765,2.1,2.3,550.48,2.78,6.25,1.36,50304
3.02,48828,49260,50533,51712,6692.9,1264.36,19.3,18325.4,1837.2,2098.65,166050,2.1,2.3,553.44,2.79,6.23,1.35,50604
3.1,49260,50533,51712,51584,6746.1,1290.57,20.18,18610,1829.6,2126.85,160710,2.1,2.3,556.59,2.8,6.23,1.36,50484
3.1,50533,51712,51584,50850,6947.2,1317.26,20.94,18499.2,1858.6,2177.95,156855,2.1,2.3,550.65,2.8,6.23,1.36,49931
3.03,51712,51584,50850,50304,7113.3,1323.61,21.07,19337.7,1881.6,2219.9,155940,2.02,2.3,550.29,2.79,6.21,1.37,50176
2.95,51584,50850,50304,50604,7151.7,1327.76,21.18,19376.2,1907.35,2279.7,158610,2,2.3,552.33,2.78,6.2,1.36,50875
2.89,50850,50304,50604,50484,7074.45,1305.63,20.84,19091.2,1951.1,2293.4,158845,2,2.3,560.07,2.78,6.21,1.35,50462
2.87,50304,50604,50484,49931,7084.7,1304.86,20.75,18998.8,2002.55,2367.25,155675,2,2.3,563.69,2.78,6.2,1.35,49938
2.82,50604,50484,49931,50176,7123.3,1294.51,20.47,18597.9,1983.45,2380.05,148250,1.94,2.24,568.78,2.79,6.18,1.34,49515
2.74,50484,49931,50176,50875,7041.1,1300.71,19.94,18544.5,2012.6,2347.85,144415,1.7,2,575.14,2.8,6.17,1.34,48706
2.72,49931,50176,50875,50462,6924.55,1309.13,19.81,18576.9,2008.47,2283.1,141210,1.7,2,575.97,2.79,6.15,1.34,48759
